"Bill of Material for "
"On 2024/8/4 at ¤U¤È 01:24:47"

"Comment","Pattern","Quantity","Components"

"104","C200","3","C1, C9, C15","Capacitor"
"10k","AXIAL-0.3","5","R3, R4, R6, R7, R8","Resistor"
"1N5824","DO-201AD","1","D5","3 Amp Medium Power Silicon Rectifier Diode"
"22p","C200","2","C4, C5","Capacitor"
"AC","HDR1X2","1","J1","Header, 2-Pin"
"Cap Pol1","RB7.6-15","1","C1","Polarized Capacitor (Radial)"
"Cap2","CAPR5-4X5","1","C14","Capacitor"
"Diode 1N4001","DO-41","4","D1, D2, D3, D4","1 Amp General Purpose Rectifier"
"DS1302","HDR1X5","1","J5","Header, 5-Pin"
"FN-M16P","FN-M16P","1","U1","Embedded MP3 Audio Module"
"HC-05 EXTEND","HDR1X6","1","J4","Header, 6-Pin"
"Header 3","HDR1X3","1","J3","Header, 3-Pin"
"Header 4","HDR1X4","1","OCDS1","Header, 4-Pin"
"HT66F2390","LFPQ-64","1","U3",""
"Inductor/80125","T080125","1","L1","Inductor"
"LED","LED-3mm_G","2","DS1, DS2","Typical INFRARED GaAs LED"
"LM2596T-5.0","T05D","1","U2","SIMPLE SWITCHER?Power Converter 150 KHz 3A Step-Down Voltage Regulator, 5-pin TO-220"
"Res1","AXIAL-0.3","2","R1, R2","Resistor"
"speaker","HDR1X2","1","J2","Header, 2-Pin"
"SW-PB","TACK6","5","S1, S2, S3, S4, S5","Switch"
"sw-ts13","TS-13","1","SW1",""
"variable resistor","var_test","1","VR1",""
"WG14432B","LCM_16","1","DS3","LCD Module"
"XTAL","XTAL4-8","1","Y1","Crystal Oscillator"
